Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings
AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2686.71B,28.86,161.84,-1.17%,"117,776,990",3.21%,6.83%,4.89%,28.55%,31.64%,21.97%,3.17%,2.20%,1.90,82.41M,1.43,1.20,3.95,3.83%,8.04%,16.59%,-4.97%,39.27%,62.03,-1.29%,0.12%,16.49B,16.39B,0.07%,-20.62%,58.80%,-0.55%,0.61%,1.21,26.34,1.87,7.34,42.26,42.89,34.23,71.40%,7.15%,22.00%,15.43%,11.10%,0.54%,27.60%,144.10%,50.00%,1.10,1.00,1.73,1.98,41.80%,29.80%,25.90%,Oct 28/a
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,181.96B,44.59,144.01,-4.43%,"65,605,419",-6.98%,10.33%,31.01%,77.03%,56.01%,57.03%,6.04%,5.49%,2.30,50.99M,1.29,1.93,7.76,-4.07%,13.02%,46.07%,-12.43%,98.63%,50.21,-5.01%,0.61%,1.21B,1.20B,0.50%,-18.32%,70.50%,0.96%,6.28%,1.48,43.25,1.26,12.25,24.49,50.43,61.39,604.70%,26.38%,34.80%,35.32%,19.60%,-,38.90%,59.90%,40.90%,2.20,1.70,0.00,0.04,46.80%,19.90%,26.70%,Oct 26/a
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1743.23B,66.28,3389.79,-1.38%,"3,955,629",-3.27%,0.17%,-2.54%,6.00%,6.37%,4.08%,2.78%,2.77%,1.70,3.21M,1.23,1.13,98.89,-4.16%,-0.84%,1.12%,-10.16%,17.66%,41.78,-1.89%,0.51%,507.00M,439.25M,9.90%,-1.97%,59.30%,-0.52%,0.96%,1.32,65.54,1.84,3.81,14.25,22.07,-,81.90%,26.34%,101.80%,36.00%,29.30%,-,7.60%,24.30%,13.90%,1.10,0.90,0.55,0.55,41.30%,6.20%,5.70%,Oct 28/a
BA,The Boeing Company,Industrials,Aerospace & Defense,USA,118.94B,-,198.49,-1.92%,"10,676,638",-0.36%,-6.98%,-9.02%,-21.44%,-16.32%,-7.27%,4.39%,3.21%,2.30,9.62M,1.11,1.52,8.06,-7.30%,-8.38%,-13.57%,-28.75%,5.58%,40.11,-0.11%,-1.82%,589.00M,587.14M,0.09%,-0.17%,53.40%,-1.82%,1.34%,0.82,40.18,-,1.88,-,5.95,-,96.20%,1419.60%,-36.90%,12.33%,-9.40%,-,-5.70%,50.20%,-22.60%,1.40,0.40,-,-,0.50%,-10.70%,-13.40%,Oct 27/b
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,236.82B,20.90,56.23,0.14%,"25,881,777",2.85%,-2.46%,-5.37%,4.28%,27.48%,25.65%,2.53%,2.15%,2.30,19.04M,1.36,0.91,1.33,0.43%,0.90%,4.58%,-6.70%,29.71%,52.68,-0.12%,0.27%,4.22B,4.21B,0.06%,-7.36%,75.10%,0.19%,0.94%,2.08,15.28,3.19,4.66,5.74,9.66,30.02,-5.20%,7.51%,3.40%,6.55%,0.20%,2.63%,10.70%,25.70%,19.20%,1.50,1.40,0.22,0.28,63.70%,24.60%,20.10%,Nov 17/a
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,118.79B,15.86,90.87,0.98%,"5,573,207",-0.71%,-5.68%,3.89%,5.26%,25.30%,33.05%,2.36%,2.07%,2.00,5.40M,1.03,0.81,2.00,-1.99%,2.28%,9.85%,-5.90%,35.51%,49.27,0.25%,0.72%,1.32B,1.32B,0.10%,-19.50%,78.90%,0.09%,1.12%,2.73,11.05,2.88,0.42,1.62,9.25,9.44,7.60%,3.04%,3.30%,5.51%,11.90%,2.20%,3.30%,10.50%,7.40%,0.90,0.70,0.76,0.79,39.70%,4.40%,2.70%,Nov 03/b
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,221.95B,22.19,114.41,-0.63%,"10,187,802",-0.09%,1.24%,17.36%,6.18%,27.41%,35.48%,3.02%,1.90%,2.30,10.93M,0.93,1.27,2.57,-0.28%,3.10%,8.87%,-3.11%,36.97%,52.50,-1.80%,1.19%,1.92B,1.91B,0.04%,-36.12%,67.40%,-0.93%,0.93%,1.62,12.14,-,1.65,1.62,36.80,50.76,-291.90%,13.50%,-26.20%,-4.90%,-6.10%,4.68%,4.10%,7.40%,-2.00%,1.30,1.00,0.27,0.27,44.10%,8.40%,7.30%,Oct 29/b
DIS,The Walt Disney Company,Communication Services,Entertainment,USA,267.56B,132.21,146.22,-0.67%,"14,734,673",-1.28%,-14.03%,-19.22%,-17.39%,-4.58%,-19.30%,3.41%,2.38%,1.90,11.67M,1.26,1.18,4.08,-7.60%,-12.47%,-17.86%,-27.98%,2.94%,29.38,-0.97%,0.31%,1.82B,1.82B,0.10%,-0.81%,66.60%,0.16%,1.23%,1.92,26.08,3.19,3.97,3.00,16.77,134.52,170.70%,37.17%,-28.00%,41.49%,3.90%,-,1.00%,2.30%,2.20%,1.10,1.00,0.55,0.61,33.10%,4.80%,3.00%,Nov 10/a
DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,USA,25.02B,-,28.37,-9.36%,"29,863,743",-21.28%,-39.43%,-53.51%,-46.98%,-43.33%,-39.07%,8.95%,6.35%,2.00,14.19M,2.11,-,2.28,-25.68%,-36.28%,-46.10%,-61.86%,-6.71%,16.37,-9.10%,-0.29%,403.84M,376.16M,6.60%,-14.26%,61.90%,0.92%,9.78%,2.59,-,-,21.86,6.28,8.70,-,-668.20%,33.20%,-,-6.80%,-,-,-35.40%,-65.20%,-32.00%,3.20,3.20,0.68,0.68,38.80%,-,-,Nov 05/b
DOCU,"DocuSign, Inc.",Technology,Software - Application,USA,46.00B,-,135.09,-42.22%,"75,854,620",-45.88%,-52.30%,-56.43%,-43.94%,-41.52%,-39.23%,7.59%,4.76%,1.80,2.28M,33.23,0.94,16.94,-47.51%,-48.78%,-46.40%,-57.08%,-24.74%,13.59,-12.82%,-33.73%,196.00M,192.36M,1.10%,-9.83%,78.30%,0.64%,3.26%,2.75,62.45,-,23.50,125.08,55.90,150.91,-11.10%,13.36%,-7.50%,45.30%,42.10%,-,-9.00%,-67.60%,-21.20%,1.00,1.00,3.45,3.46,77.70%,-9.00%,-10.40%,Dec 02/a
